#01/02/2015 Friday   Dals Development Computer
*13:22:54 p  1 badges_showall.php>  
*13:22:54 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Chase Aardema, BadgeID=A001.
*13:22:54 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Lorenzo Adler, BadgeID=A002.
*13:22:54 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Kevin Baysic, BadgeID=A003.
*13:22:54 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Dalbert Brandon, BadgeID=A004.
*13:22:55 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Michael Butkus, BadgeID=A005.
*13:22:55 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Ricky Carranza, BadgeID=A006.
*13:22:55 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Cerrik Chin, BadgeID=A007.
*13:22:55 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Anna Collier, BadgeID=A008.
*13:22:55 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Jim Dekker, BadgeID=A009.
*13:22:56 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Nick Dekker, BadgeID=A010.
*13:22:56 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Ginger DeVries, BadgeID=A011.
*13:22:56 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Paul DeVries, BadgeID=A012.
*13:22:56 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Peter DeVries, BadgeID=A013.
*13:22:56 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Kyle Dominguez, BadgeID=A014.
*13:22:57 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Chris Dominik, BadgeID=A015.
*13:22:57 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Dan Dominik, BadgeID=A016.
*13:22:57 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Rob Dominik, BadgeID=A017.
*13:22:57 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Hunter Feller, BadgeID=A018.
*13:22:57 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= David Fieldhouse, BadgeID=A019.
*13:22:58 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Gavin Fua, BadgeID=A020.
*13:22:58 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Logan Furlong, BadgeID=A021.
*13:22:58 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= William Furlong, BadgeID=A022.
*13:22:58 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Gordan Gao, BadgeID=A023.
*13:22:58 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Nathan  Gardner, BadgeID=A024.
*13:22:59 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Temesghen Ghebreyesus, BadgeID=A025.
*13:22:59 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Yoel Ghebreyesus, BadgeID=A026.
*13:22:59 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Elisha Goldine-Hashim, BadgeID=A027.
*13:22:59 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Caleb Granch, BadgeID=A028.
*13:22:59 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Stan Granch, BadgeID=A029.
*13:23:00 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Andrew Haitz, BadgeID=A030.
*13:23:00 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Wayne He, BadgeID=A031.
*13:23:00 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Jack Kim, BadgeID=A032.
*13:23:00 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Payton Kooi, BadgeID=A033.
*13:23:00 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Cheyenne La France, BadgeID=A034.
*13:23:01 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Kristiana Lee, BadgeID=A035.
*13:23:01 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Jenny Liu, BadgeID=A036.
*13:23:01 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Don Long, BadgeID=A037.
*13:23:01 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Khalil Meade, BadgeID=A038.
*13:23:01 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Matt Moore, BadgeID=A039.
*13:23:02 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Nathaniel Newbold, BadgeID=A040.
*13:23:02 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Mike Ormonde, BadgeID=A041.
*13:23:02 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= David O Toole, BadgeID=A042.
*13:23:02 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Jelani Poole, BadgeID=A043.
*13:23:02 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= True Sarmiento, BadgeID=A044.
*13:23:03 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Shawn Shi, BadgeID=A045.
*13:23:03 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Matthew Sigala, BadgeID=A046.
*13:23:03 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Madison Silva, BadgeID=A047.
*13:23:03 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Ellen Su, BadgeID=A048.
*13:23:03 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Claus Tan, BadgeID=A049.
*13:23:04 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Caleb Thacker, BadgeID=A050.
*13:23:04 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Tina Tran, BadgeID=A051.
*13:23:04 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Ryan Vreeke, BadgeID=A052.
*13:23:04 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Kevin Wen, BadgeID=A053.
*13:23:04 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Jack Wu, BadgeID=A054.
*13:23:05 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Melody Zhang, BadgeID=A055.
*13:23:05 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Tab Zhang, BadgeID=A056.
*13:23:05 s  1 badgeli.php->MakeBadge> Badge Successfully made for User= Hobbes Zhou, BadgeID=A057.
*13:23:05 s  1 badges_showall.php->MakeAllBadges> All badges remade!
+> Badges Made: 57, Members without BadgeIDs: 0
*13:23:05 p  1 badges_makeall.php>  
*13:23:05 p  1 badges_makeall.php>  
*13:23:10 p  1 badges_makegif.php>  
*13:23:23 p  1 badges_showall.php>  
*13:23:23 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:23 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:24 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:24 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:24 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:24 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:24 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:24 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:24 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:24 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:24 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:24 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:24 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:24 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:24 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:24 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:24 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:24 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:25 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:25 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:25 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:25 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:25 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:25 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:25 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:25 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:25 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:25 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:25 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:25 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:25 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:25 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:25 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:25 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:26 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:26 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:26 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:26 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
*13:23:26 s  1 badgeli.php->MakeGif> Image Successfully made for UserID= .
